Title,Authors,Year,Journal,DOI,Month
Exploring the role and connections between rainfall and soil moisture over cascading hazards in the Himalayas,"Sudhanshu Dixit, Srikrishnan Siva Subramanian, Sumit Sen",2026,European Geosciences Union General Assembly 2026,,May 
"
Design of a stability assessment approach for rainfall-induced debris slides using physical modelling and multi-scale numerical simulations","Manish Dewrari, Srikrishnan Siva Subramanian",2026,European Geosciences Union General Assembly 2026,,May 
"Extreme weather event-driven evolution of mass movements over upper, middle, and paraglacial zones of a Central Himalayan catchment","Anamika Sekar, Srikrishnan Siva Subramanian",2026,European Geosciences Union General Assembly 2026,,May 
Landslide Dam Susceptibility Mapping in the Indian Himalayas: A Random Forest Approach with Cross-Catchment Validation,"Shivani Joshi, Srikrishnan Siva Subramanian",2026,European Geosciences Union General Assembly 2026,,May 
"Unsaturated behaviour of landslide materials in the Lesser Himalayas, India","Akshat Vashistha, Manish Dewrari, Srikrishnan Siva Subramanian",2025,"Indian Geotechnical Conference, 2025",,December
"Assessment of transportation infrastructure resilience against landslides in hilly regions of Uttarakhand, India","Akshat Vashistha, Srikrishnan Siva Subramanian",2025,American Geosciences Union General Assembly 2025,,December
"Fragility of road infrastructure against landslides in Uttarakhand, India","Akshat Vashistha, Srikrishnan Siva Subramanian",2025,Geotech Asia 2025,10.1201/9781003645931-105,October
"A Seepage Prediction Approach for Debris Material Based on Fine Soil Proportion, Linking Grain Size Distribution to Pore Size and Hydraulic Conductivity","Manish Dewrari, Srikrishnan Siva Subramanian",2025,American Geosciences Union General Assembly 2025,,December
Physical and Numerical Modelling of Rainfall-Induced Debris Slides at Laboratory Scale,"Manish Dewrari, Srikrishnan Siva Subramanian",2025,"Indian Geotechnical Conference, 2025",,December
"Post-Disaster Landscape Recovery: Interactions Between Landslides, Vegetation Regrowth, and Soil Moisture in the Himalayas",Anamika Sekar and Srikrishnan Siva Subramanian,2025,American Geosciences Union General Assembly 2025,,December
"Landslide Dam Hazard Zonation in the Alaknanda Catchment, Uttarakhand, India Using Frequency Ratio Modelling",Shivani Joshi and Srikrishnan Siva Subramanian,2025,VI International Conference on GIS and Geoinformation Zoning for Disaster Mitigation (GIZ),,28-30 August
Exploring Uncertainties Within a Framework for Assessing Extreme Precipitation-Induced Cascading Hazards in the Himalayas,"Sudhanshu Dixit, Srikrishnan Siva Subramanian,  Sumit Sen.",2024,European Geosciences Union General Assembly 2024,https://ui.adsabs.harvard.edu/link_gateway/2024EGUGA..26.1049D/doi:10.5194/egusphere-egu24-1049 ,april 
Modelling of Rainfall-Induced Debris Slide Using Laboratory Scale Flume Test,"Manish Dewrari, Srikrishnan Siva Subramanian",2024,"Indian Geotechnical Conference, 2024",https://doi.org/10.1007/978-981-96-7767-2_31 ,December
"Satellite derived Intensity- Duration (ID) thresholds for landslide forecast in Idukki, India",Anamika Sekar and Srikrishnan Siva Subramanian,2024,European Geosciences Union General Assembly 2024,"https://doi.org/10.5194/egusphere-egu24-15655, 2024.",April 
"Evolving hydro-meteorological thresholds of debris slides and debris flows initiation in Mandakini catchment, Uttarakhand, India",Anamika Sekar and Srikrishnan Siva Subramanian,2024,American Geosciences Union General Assembly 2024,,December
The Chamoli Earthquake (1999): Transitioning from Point-Based to Polygon-Based Landslide Inventory in Uttarakhand,Shivani Joshi and Srikrishnan Siva Subramanian,2024,European Geosciences Union General Assembly 2024,"https://doi.org/10.5194/egusphere-egu24-9998, 2024",April 
Developing a SMART flood early warning system for a mountain watershed: experiences from the Lesser Himalayas,"Sudhanshu Dixit, Tahmina Yasmin, Kieran Khamis, Antony Ross, Subir Sen, Debashish Sen, Wouter Buytaert, David M. Hannah, Sumit Sen.",2023,European Geosciences Union General Assembly 2023,https://doi.org/10.5194/egusphere-egu23-11115,april 
Co-seismic landslide damming in the Indian Himalayas,"Akshat Vashistha, Srikrishnan Siva Subramanian, Josodhir Das",2023,European Geosciences Union General Assembly 2023,https://doi.org/10.5194/egusphere-egu23-11125,april 
"Correlating grain-size distributions, transport mechanism, and runout distance of debris flow deposits in the Himalayas","Manish Dewrari, Srikrishnan Siva Subramanian",2023,European Geosciences Union General Assembly 2023,https://doi.org/10.5194/egusphere-egu23-13031,
Designing a SMART flood early warning system for a lesser Himalayan urban region,"Tahmina Yasmin, Sudhanshu Dixit, Kieran Khamis, Anthony Ross, Subir Sen, Debashish Sen, Wouter Buytaert , David M. Hannah, Sumit Sen",2023,"International Conference on Climate Risk, Vulnerability and Resilience Building 2023. UNESCO",,
Numerical Model Based Correlation of Rainfall Intensity-Duration Thresholds of Landslides with Velocities from Seismological Monitoring,"Manish Dewrari, Zhu, Yulong, Srikrishnan Siva Subramanian",2022,American Geosciences Union General Assembly 2022,,December
Likelihood of Earthquake-Induced Landslide Damming in the Himalayas and Potential for Seismological Monitoring,"Akshat Vashistha, Srikrishnan Siva Subramanian, Josodhir Das",2022,American Geosciences Union General Assembly 2022,,December
